condition,model,test_case_id,problem,recipe,category,difficulty,cause_accuracy,solution_appropriateness,scientific_accuracy,overall
baseline,GPT-OSS 20B,1,My hollandaise sauce is thin and won't thicken up.,Hollandaise Sauce,sauce emulsions,medium,0.38461538461538464,0.42857142857142855,0.5454545454545454,0.4344
baseline,GPT-OSS 20B,2,My steak is gray and has no crust after searing.,Pan-Seared Ribeye Steak,protein cookery,easy,0.3333333333333333,0.25,0.4444444444444444,0.3222
baseline,GPT-OSS 20B,3,My chocolate ganache looks grainy and oily.,Chocolate Ganache,sauce emulsions,medium,0.1111111111111111,0.2,0.4444444444444444,0.2133
baseline,GPT-OSS 20B,4,My hard-boiled eggs are impossible to peel.,Hard-Boiled Eggs,protein cookery,easy,0.2,0.3333333333333333,0.3,0.2733
baseline,GPT-OSS 20B,5,My pesto turned brown almost immediately.,Blanched Basil Pesto,sauce emulsions,easy,0.1,0.25,0.2727272727272727,0.1945
baseline,GPT-OSS 20B,6,My cookies spread into one giant flat sheet.,Chocolate Chip Cookies,baking,easy,0.2222222222222222,0.2727272727272727,0.2,0.238
baseline,GPT-OSS 20B,7,My scrambled eggs are weeping water and are rubbery.,Scrambled Eggs,protein cookery,easy,0.46153846153846156,0.3888888888888889,0.3,0.4002
baseline,GPT-OSS 20B,8,My mac and cheese sauce is grainy and the cheese is clumping.,Macaroni and Cheese,starch emulsions,easy,0.3076923076923077,0.6363636363636364,0.7272727272727273,0.5231
baseline,GPT-OSS 20B,9,My burgers are falling apart on the grill.,Ultra-Smashed Burger,protein cookery,easy,0.125,0.1724137931034483,0.18181818181818182,0.1553
baseline,GPT-OSS 20B,10,My garlic turned bitter and black in the oil.,Spaghetti Aglio e Olio,protein cookery,easy,0.125,0.7777777777777778,0.5,0.4611
baseline,GPT-OSS 20B,11,My mayonnaise won't emulsify; it's just oil and yellow liquid.,Immersion Blender Mayo,sauce emulsions,medium,0.3076923076923077,0.07142857142857142,0.5833333333333334,0.2683
baseline,GPT-OSS 20B,12,My chicken breast is dry and stringy.,Pan-Roasted Chicken Breast,protein cookery,medium,0.23529411764705882,0.27586206896551724,0.1,0.2245
baseline,GPT-OSS 20B,13,My stir-fry is soggy and boiling in its own juice.,Vegetable Stir-Fry,protein cookery,medium,0.0,0.2857142857142857,0.16666666666666666,0.1476
baseline,GPT-OSS 20B,14,My whipped cream is turning into lumpy butter.,Whipped Cream,sauce emulsions,easy,0.3333333333333333,0.2222222222222222,0.5454545454545454,0.3313
baseline,GPT-OSS 20B,15,My mashed potatoes are sticky like glue.,Mashed Potatoes,baking,easy,0.1,0.45454545454545453,0.4,0.3018
baseline,GPT-OSS 20B,16,My chocolate chips seized into a dry clump in the microwave.,Microwave Chocolate Ganache,sauce emulsions,easy,0.1111111111111111,0.375,0.3333333333333333,0.2611
baseline,GPT-OSS 20B,17,My vinaigrette separates the second I stop shaking it.,Vinaigrette,sauce emulsions,easy,0.1111111111111111,0.3333333333333333,0.4166666666666667,0.2611
baseline,GPT-OSS 20B,18,My rice is mushy and stuck together.,White Rice,starch cookery,easy,0.0,0.21212121212121213,0.3,0.1448
baseline,GPT-OSS 20B,19,My muffins have huge holes (tunnels) inside.,Blueberry Muffins,baking,easy,0.0,0.3333333333333333,0.2727272727272727,0.1879
baseline,GPT-OSS 20B,20,My caramel is grainy and full of sugar crystals.,Caramel Sauce,sauce emulsions,medium,0.1111111111111111,0.375,0.5,0.2944
baseline,GPT-OSS 20B,21,"Chicken breast is dry, tough, and lacks the signature juicy/springy texture.",Hainanese Chicken Rice,protein cookery,medium,0.5,0.38461538461538464,0.09090909090909091,0.372
baseline,GPT-OSS 20B,22,"Bottled black truffle is flavorless or ""rubbery"" when cooked on pizza.",Truffle & Mushroom Pizza,baking,easy,0.16666666666666666,0.2,0.2727272727272727,0.2012
baseline,GPT-OSS 20B,23,"Mushroom sauce is too thin/light and lacks a rich, glossy texture.",White wine & Mushroom Sauce,sauce emulsions,easy,0.0,0.45454545454545453,0.5454545454545454,0.2909
baseline,GPT-OSS 20B,24,Curry paste is overwhelmingly bitter and borderline inedible because the white lemon pith was processed into the paste instead of just the zest.,Thai Curry Paste,ingredient prep,medium,0.8,0.10526315789473684,0.14285714285714285,0.3907
baseline,GPT-OSS 20B,25,"The green curry is dark, oily, and the delicate herbal notes are drowned out after using coconut paste as a 1:1 substitute for milk.",Thai Green Curry,thai,medium,0.25,0.4375,0.0,0.275
baseline,GPT-OSS 20B,26,"The Sichuan pepper provides no numbing sensation or flavor (tastes like ""dust"") even after being ground into a fine powder",Sichuan Chilli Oil,chinese,easy,0.25,0.23076923076923078,0.1,0.2123
baseline,GPT-OSS 20B,27,"The soup remains thin and watery, or the starch forms ""dumplings"" (clumps) instead of thickening the broth evenly.",Egg Drop Soup,soup,easy,0.23076923076923078,0.35294117647058826,0.4166666666666667,0.3168
baseline,GPT-OSS 20B,28,"Monkfish cheeks are inedibly salty and slightly ""cured"" after being left in the fridge with too much salt for too long.",Pan-Seared Monkfish Cheeks,seafood,medium,0.25,0.4666666666666667,0.2,0.3267
baseline,GPT-OSS 20B,29,"The vegan ice cream has a grainy, ""oatmeal-like"" texture and a heavy, dense mouthfeel instead of being smooth and creamy.",Matcha Tofu Ice Cream,dessert,easy,0.0,0.14285714285714285,0.2,0.0971
baseline,GPT-OSS 20B,30,No instant yeast,Yeasted Banana Sandwich Bread,substitution,medium,0.0,0.0,0.2857142857142857,0.0571
baseline,GPT-OSS 20B,31,"Sautéed mushrooms are rubbery, tough, and ""slimy"" instead of being tender and meaty.",Sautéed Cremini Mushrooms,ingredient prep,easy,0.3076923076923077,0.4375,0.5714285714285714,0.4124
baseline,GPT-OSS 20B,32,"The black sesame paste remains stuck in a crumbly, sandy texture and won't turn into a smooth, glossy liquid despite 60 minutes of processing.",Black Sesame Paste,ingredient prep,medium,0.05555555555555555,0.4583333333333333,0.1,0.2256
baseline,GPT-OSS 20B,33,My pie crust cracks and breaks apart while I am rolling it out.,Classic Pie Crust,baking,medium,0.3333333333333333,0.6,0.0,0.3733
baseline,GPT-OSS 20B,34,"The cakes fail to ""bloom"" (split open) and instead result in dense, domed tops similar to standard cupcakes due to using flour instead of arrowroot powder",Vietnamese Bánh Thuẫn,baking,hard,0.25,0.5555555555555556,0.2727272727272727,0.3768
baseline,GPT-OSS 20B,35,The bottom of my fruit pie is pale and soggy after baking.,Berry Pie,baking,easy,0.3076923076923077,0.18181818181818182,0.0,0.1958
baseline,GPT-OSS 20B,36,My cake sank in the center after taking it out of the oven.,Vanilla Layer Cake,baking,easy,0.375,0.2857142857142857,0.0,0.2643
baseline,GPT-OSS 20B,37,"The frosting is overly soft, soup-like, and fails to hold a peak after substituting 100% of the butter with cream cheese.",Swiss Meringue Buttercream,baking,medium,0.35714285714285715,0.42857142857142855,0.5,0.4143
baseline,GPT-OSS 20B,38,The giant octopus legs turned out tough and rubbery despite being pre-tenderized before cooking.,Grilled Giant Octopus Legs,seafood,medium,0.0,0.25,0.36363636363636365,0.1727
baseline,GPT-OSS 20B,39,"The cookie spread is extremely grainy and ""sandy"" despite high-speed blending to the point of the mixture steaming.",Biscoff Cookie Spread,dessert,medium,0.09090909090909091,0.4,0.2727272727272727,0.2509
